condition,strategy,tempo,std_fraction,interval_i,error
Jittering,optimal,400,0.2,3,15.118578920369089
Jittering,optimal,400,0.2,4,10.327955589886445
Jittering,optimal,400,0.2,5,7.627700713964739
Jittering,optimal,400,0.2,6,5.929994533288809
Jittering,optimal,400,0.2,7,4.780914437337574
Jittering,optimal,400,0.2,8,3.960590171906697
Jittering,optimal,400,0.2,9,3.3508312663335644
Jittering,optimal,400,0.2,10,2.882999880625789
Jittering,optimal,400,0.2,11,2.514778453847726
Jittering,optimal,400,0.2,12,2.2188007849009166
Jittering,optimal,400,0.2,13,1.976664844429603
Jittering,optimal,400,0.2,14,1.7755870464739012
Jittering,optimal,400,0.2,15,1.6064386578049976
Jittering,optimal,400,0.2,16,1.4625448482542611
Jittering,optimal,400,0.2,17,1.3389238540091568
Jittering,optimal,400,0.2,18,1.2317900715887733
Jittering,optimal,400,0.2,19,1.1382207864489442
Jittering,optimal,400,0.2,20,1.0559273546969092
Jittering,optimal,400,0.2,21,0.9830947996404192
Jittering,optimal,400,0.2,22,0.9182672575335759
Sampling,equal_weights,400,0.2,1,80.0
Sampling,equal_weights,400,0.2,2,56.568542494923804
Sampling,equal_weights,400,0.2,3,46.18802153517006
Sampling,equal_weights,400,0.2,4,40.0
Sampling,equal_weights,400,0.2,5,35.77708763999664
Sampling,equal_weights,400,0.2,6,35.77708763999664
Sampling,equal_weights,400,0.2,7,35.77708763999664
Sampling,equal_weights,400,0.2,8,35.77708763999664
Sampling,equal_weights,400,0.2,9,35.77708763999664
Sampling,equal_weights,400,0.2,10,35.77708763999664
Sampling,equal_weights,400,0.2,11,35.77708763999664
Sampling,equal_weights,400,0.2,12,35.77708763999664
Sampling,equal_weights,400,0.2,13,35.77708763999664
Sampling,equal_weights,400,0.2,14,35.77708763999664
Sampling,equal_weights,400,0.2,15,35.77708763999664
Sampling,equal_weights,400,0.2,16,35.77708763999664
Sampling,equal_weights,400,0.2,17,35.77708763999664
Sampling,equal_weights,400,0.2,18,35.77708763999664
Sampling,equal_weights,400,0.2,19,35.77708763999664
Sampling,equal_weights,400,0.2,20,35.77708763999664
Sampling,equal_weights,400,0.2,21,35.77708763999664
Sampling,equal_weights,400,0.2,22,35.77708763999664
Sampling,exp_decay,400,0.2,1,80.0
Sampling,exp_decay,400,0.2,2,61.544740652965764
Sampling,exp_decay,400,0.2,3,55.83859523616902
Sampling,exp_decay,400,0.2,4,53.730633713890526
Sampling,exp_decay,400,0.2,5,52.911360095522944
Sampling,exp_decay,400,0.2,6,52.587251707146386
Sampling,exp_decay,400,0.2,7,52.45817083077748
Sampling,exp_decay,400,0.2,8,52.40662761724779
