pp_id,unique_id,age,gender_str,gender_code,L1_str,L1_code,handedness_str,handedness_code,musicality_question_1,musicality_question_2,musicality_question_3,musicality_question_4,musicality_question_5,musicality_question_6,musicality_question_7,musicality_question_8,musicality_calculated,n_resampled,failed_training,n_training_rounds_needed
240,8367168,77.0,v,,Ned,,right,,1,1.0,2.0,3.0,2.0,4.0,,2,,1,True,1
43,8376129,29.0,vrouw,,Nederlands,,left,,10,3.0,1.0,3.0,2.0,1.0,,,,0,True,1
1,8380661,26.0,vrouw,,Nederlands,,right,,1,3.0,1.0,3.0,2.0,1.0,,,,1,True,1
103,8396620,29.0,man,,Nederlands,,right,,30,3.0,1.0,2.0,1.0,2.0,1,2,,1,False,2
126,8405344,,,,,,,,,,,,,,,,,0,False,2
304,8416475,21.0,Vrouw,,Nederlands,,right,,25,3.0,1.0,3.0,1.0,1.0,,,,1,True,2
238,8437462,22.0,vrouw,,Nederlands,,right,,18,5.0,4.0,2.0,4.0,4.0,15,2.5,,1,True,1
303,8443427,,,,,,,,,,,,,,,,,0,False,1
155,8445803,23.0,Man,,Nederlands,,right,,10,4.0,3.0,3.0,3.0,3.0,5,,,0,True,1
50,8450657,25.0,Woman,,Netherlands,,left,,10,2.0,1.0,4.0,1.0,1.0,,,,0,True,4
294,8460011,21.0,Vrouw,,Nederlands,,right,,7,3.0,4.0,2.0,2.0,3.0,8,,,0,True,1
101,8468936,50.0,M,,Nederlands,,right,,18,3.0,2.0,3.0,2.0,2.0,8,4,,0,True,1
142,8492434,19.0,Male,,English,,right,,20,3.0,1.0,3.0,1.0,1.0,,,,0,True,3
148,8562585,20.0,Vrouw,,Nederlands,,right,,10,4.0,2.0,2.0,2.0,2.0,3,0,,0,True,1
48,8616215,27.0,female,,German,,right,,4,2.0,5.0,2.0,5.0,4.0,18,0.5,,0,True,1
119,8660421,,,,,,,,,,,,,,,,,1,False,1
209,8699135,75.0,man,,nederlands,,right,,25,4.0,2.0,3.0,2.0,2.0,60,1,,0,True,2
191,8767785,25.0,Vrouw,,Nederlands,,right,,5,5.0,1.0,3.0,1.0,1.0,,,,1,False,3
202,8784060,69.0,V,,Nederlands,,right,,20,4.0,3.0,2.0,2.0,1.0,,,,0,True,1
79,8785762,30.0,Vrouw,,Nederlands,,right,,8,2.0,1.0,3.0,2.0,2.0,3,0,,0,True,1
117,8805856,23.0,vrouw,,Nederlands,,right,,6,2.0,5.0,2.0,4.0,4.0,12,4,,0,True,1
210,8836952,23.0,Vrouw,,Nederlands,,right,,10,2.0,1.0,4.0,1.0,1.0,,,,0,True,2
30,8837074,26.0,Man,,NL,,right,,20,5.0,1.0,1.0,1.0,2.0,12,0,,0,True,2
167,8900771,28.0,vrouw,,Nederlands,,right,,7,2.0,1.0,2.0,1.0,1.0,,,,0,True,1
211,8917716,21.0,Man,,Nederlands,,right,,40,2.0,5.0,3.0,3.0,4.0,5,2,,0,True,3
258,8934602,25.0,vrouw,,Nederlands,,right,,16,4.0,5.0,3.0,4.0,4.0,7,1,,0,True,1
24,8947344,47.0,vrouw,,nederlands,,right,,1,3.0,1.0,2.0,1.0,1.0,,,,1,True,1
28,8999008,,,,,,,,,,,,,,,,,0,False,1
111,9040248,28.0,Vrouw,,Nederlands,,right,,20,3.0,1.0,1.0,1.0,3.0,16,2,,0,True,1
31,9049227,30.0,Man,,Nederlands,,right,,21,5.0,3.0,2.0,2.0,1.0,,,,0,False,2
302,9078007,23.0,vrouw,,nederlands,,left,,20,1.0,1.0,3.0,1.0,1.0,,,,0,False,2
19,9115436,27.0,Vrouw,,Nederlands,,right,,14,4.0,4.0,3.0,1.0,4.0,14,0.5,,0,True,1
128,9121666,,,,,,,,,,,,,,,,,0,False,1
61,9162338,,,,,,,,,,,,,,,,,1,False,1
184,9205898,33.0,vrouw,,Duits,,right,,1,2.0,1.0,4.0,3.0,1.0,,,,0,True,1
14,9234035,26.0,V,,Nederlands,,right,,25,5.0,2.0,2.0,3.0,3.0,10,0,,0,True,2
270,9239214,18.0,vrouw,,Nederlands,,left,,10,4.0,2.0,2.0,2.0,1.0,2,0,,0,True,1
147,9253193,,,,,,,,,,,,,,,,,0,False,1
98,9268974,23.0,vrouw,,nederlands,,right,,12,3.0,1.0,2.0,2.0,1.0,,,,1,True,2
257,9290278,,,,,,,,,,,,,,,,,0,False,1
263,9328771,28.0,Female,,Chinese,,right,,100,3.0,2.0,2.0,2.0,1.0,,,,2,True,4
37,9335679,25.0,vrouw,,Nederlands,,right,,30,4.0,1.0,2.0,1.0,1.0,,,,1,False,1
242,9363421,23.0,vrouw,,Nederlands,,right,,6,3.0,1.0,2.0,2.0,1.0,,,,1,True,1
173,9424076,51.0,vrouw,,nederlands,,right,,8,4.0,4.0,3.0,3.0,3.0,30,,,1,True,2
125,9432830,,,,,,,,,,,,,,,,,0,False,1
176,9446330,,,,,,,,,,,,,,,,,0,False,1
71,9458464,20.0,Vrouw,,Nederlands,,right,,28,4.0,1.0,2.0,1.0,1.0,,,,0,True,1
3,9464824,28.0,Vrouw,,Nederlands,,right,,30,3.0,1.0,2.0,1.0,1.0,,,,0,True,2
282,9467534,,,,,,,,,,,,,,,,,0,False,1
222,9571087,21.0,Man,,Nederlands,,right,,14,4.0,2.0,1.0,4.0,1.0,,,,0,True,2
277,9582431,30.0,vrouw,,Nederlands,,right,,7,1.0,1.0,4.0,1.0,1.0,,,,0,True,1
187,9626755,56.0,man,,nederlands,,right,,40,3.0,1.0,3.0,2.0,2.0,2,2,,0,False,1
198,9626793,41.0,vrouw,,nederlands,,right,,4,5.0,3.0,3.0,2.0,3.0,1,3,,0,True,2
